epoch,train_loss,val_loss,train_mae,val_mae
1,0.050614084066418666,0.0005145626669625441,0.10824008195621626,0.018718638941844303
2,0.0016648028715220945,0.00039013997594515484,0.031093304361019817,0.015103809138834476
3,0.001324280055878418,0.0003116908247799923,0.027645049324376243,0.014012486313581467
4,0.0011877018946036696,0.0002739689616703739,0.026076013862405503,0.013207875005702177
5,0.0011055125511863402,0.00047819252245128157,0.025169262501171658,0.017088381338715552
6,0.0010499603982216546,0.00042324916092058025,0.024528775147710527,0.017236268767317136
7,0.0009968058164470963,0.0005121196982947489,0.023903520558817046,0.016958523206313452
8,0.000956824457110571,0.0005880432302628955,0.02342496193885803,0.02052613945821921
9,0.0009141206148958632,0.0004944138326868415,0.02288128117620945,0.01591306736310323
10,0.0008984893640875816,0.0006306487682151298,0.02270885676383972,0.017576413857539493
11,0.0008114725751083876,0.0005942246338973443,0.02146841197184154,0.017292993057370185
12,0.0007962284557228642,0.0003781734517030418,0.02127148837038449,0.013817959154943625
13,0.0007802060744006719,0.0006696061228588224,0.021036844159790447,0.018216645075480143
14,0.0007657997504914445,0.0005782617617398501,0.020837452083655766,0.016098447362383205
15,0.0007497595056093165,0.0004099595267077287,0.020617687183703694,0.013525208348135153
16,0.0007325151822556343,0.00043404528685845434,0.02038325911768845,0.014349814171095689
17,0.0007002973676738995,0.0003294705783917258,0.019898074895484105,0.012821364590326945
18,0.0006889330756611057,0.00034627697303580743,0.019755442348378047,0.013466558989385764
19,0.0006757422449785684,0.0002847304129631569,0.01952892903472696,0.012110294638474782
