epoch,train_loss,val_loss,train_mae,val_mae
1,0.18878626010586108,0.0028693452777465186,0.17904943443962507,0.0408449662788709
2,0.00262956907518208,0.0008460129018748799,0.03946165946960449,0.02152180531779925
3,0.0012278143002199275,0.00040113215256482363,0.02703697533454214,0.015007648413479327
4,0.0008510758970890726,0.0002982300116152813,0.022507694660595486,0.012991248004933198
5,0.0006584037792230291,0.0002292340485751629,0.019724976937174798,0.011292755163908005
6,0.0005265715926819082,0.0001756387971015647,0.0175459366862263,0.009718840022484462
7,0.0004391468048508146,0.00014299483443299928,0.015948861897289755,0.008554380744695663
8,0.00038459993502524284,0.00012735100372383992,0.014876956789834158,0.007962788367470105
9,0.00035119916549750736,0.00011944690550677478,0.01419286678825106,0.007747922905087471
10,0.0003275815730422203,0.00012313786826096475,0.013691748822927475,0.0076048901283741
11,0.00031183550548872775,0.00010551437893416732,0.013343763337773935,0.007074968496809403
12,0.0002971308727961566,0.00010156482218764722,0.01303911779982703,0.006974695864568154
13,0.00028617350040801936,9.917781526998927e-05,0.012787185393571853,0.006977011362165213
14,0.0002779764417904828,9.379689323871086e-05,0.012592985812808787,0.00653438885619243
15,0.00027076657811046713,9.311016132123768e-05,0.01242702900656632,0.006717005573958159
16,0.00027118632030939416,9.530284776352346e-05,0.012431399446427823,0.006823046295642852
17,0.00027095799847505985,9.229625463485718e-05,0.012428698661412512,0.006577876709451278
18,0.0002748451781951423,0.00010175493429182097,0.012544629367249352,0.006815631376554569
19,0.00030292111516131884,0.0001395507897172744,0.013245249506575721,0.009532781776686509
20,0.0003455502972578896,0.0002486418919513623,0.014272861325357641,0.013368532992998759
21,0.000395979332623205,0.0001287679040369888,0.015371544941408294,0.008933321943581105
22,0.0005541661115296717,9.548746502570187e-05,0.016902041526436807,0.0065823894485831265
23,0.0002761916940725808,0.0002777372757066041,0.012451002520407949,0.014781395717461903
24,0.000248964193268413,9.553135234474515e-05,0.011690834320528167,0.00667283824895819
25,0.00024707868666122004,9.716294980685537e-05,0.011606368864774704,0.006518971143017213
26,0.00024795922412270945,9.548254787921905e-05,0.011611794622668198,0.006502207158108553
27,0.00025108313134073146,9.623727191938087e-05,0.011686554332758699,0.006536988392074903
28,0.00025216920040015665,0.00011676778741956999,0.011686694711106164,0.007513419436017672
29,0.00025877455895101386,9.58412486112987e-05,0.011863743151341167,0.0065881206373870375
30,0.0002502092897559383,9.751833176240325e-05,0.011608835733958652,0.006622273480594158
31,0.00025256153896450995,9.772972005962705e-05,0.01162869049093553,0.00672211306805412
32,0.00025276564943737216,9.903262506083895e-05,0.011628776090656007,0.006669252732346455
