epoch,train_loss,val_loss,lr
1,0.20842660852915473,0.0027093157289177178,0.001
2,0.002376080219697739,0.000606867827711006,0.001
3,0.001205898224440004,0.00029283892540882034,0.001
4,0.0008358258580256786,0.00020139696357150872,0.001
5,0.0006507756997777948,0.00015649794257556398,0.001
6,0.0005457682778313756,0.00013164630887952322,0.001
7,0.0004814001971736018,0.00011550251360051334,0.001
8,0.00043606814694990007,0.00010851939556033661,0.001
9,0.0004038234280861382,0.00010052610739056642,0.001
10,0.0003768588005445365,9.339667189167813e-05,0.001
11,0.0003570284606649407,9.062976399281373e-05,0.001
12,0.00034181653972316,8.952657672576606e-05,0.001
13,0.0003309576279430517,8.904451103027289e-05,0.001
14,0.0003215066875384322,8.574680934504917e-05,0.001
15,0.00031384526909728134,8.665120334519694e-05,0.001
16,0.00031021407559514045,9.783318175080543e-05,0.001
17,0.0003052342619414308,9.545439401020606e-05,0.001
18,0.00032639769236291095,0.00011510819962946698,0.001
19,0.00037760700504694666,0.00016067244389870514,0.001
20,0.00041332862191301373,0.00033057645469593505,0.001
21,0.0002888745351761047,8.830314288148656e-05,0.0005
22,0.00028055736329672595,9.726468702778221e-05,0.0005
23,0.0002811761136579194,8.534787117270752e-05,0.0005
24,0.00028055235000726367,8.972624679949756e-05,0.0005
25,0.00028224912379735284,8.605809919148063e-05,0.0005
26,0.00029585556348519663,0.0001251447069342248,0.0005
27,0.0003146908568444529,0.00012096649442488948,0.0005
28,0.00034426914542381255,0.0015157802408064405,0.0005
29,0.00036722590874348367,0.00015939519765942046,0.0005
30,0.00027477718915657276,8.955970318367084e-05,0.00025
31,0.00027327866901643574,8.49894749194694e-05,0.00025
32,0.00027272403159178796,8.739759855205193e-05,0.00025
33,0.0002750062050790127,9.398587007153159e-05,0.00025
34,0.0002744514711972858,9.520672500832006e-05,0.00025
35,0.0002756931452599487,8.710750579135493e-05,0.00025
36,0.0002770943354562457,9.469414010178298e-05,0.00025
37,0.0002895780869427004,9.786058777865644e-05,0.00025
38,0.0002642912950167166,9.148357565514743e-05,0.000125
39,0.00026228329412506093,8.748409189439069e-05,0.000125
40,0.0002607561463809439,8.868967871026447e-05,0.000125
41,0.00025990968313201196,9.370653904353579e-05,0.000125
