model,epoch,train_loss,val_loss,lr,is_best
resnet,14,0.0002290393793050732,4.266049052355811e-05,0.001,0
resnet,15,0.00030590660847923054,5.009676992582778e-05,0.001,0
resnet,16,0.0002364102334781949,5.1988306714144226e-05,0.001,0
resnet,17,0.00020693258227580893,4.336437448238333e-05,0.001,0
resnet,18,0.0005036827349715999,3.812897602988717e-05,0.001,0
resnet,19,0.00016577793204558216,4.913785059858734e-05,0.001,0
resnet,20,0.00021244641024752386,0.00011363997119556492,0.001,0
resnet,21,0.00021958005634801727,0.0005629662395703295,0.001,0
resnet,22,0.0002944433689450047,8.783962514251471e-05,0.001,0
resnet,23,0.0002496639201217996,4.547951368459811e-05,0.001,0
resnet,24,0.0002275251181204138,9.487238802326223e-05,0.001,0
resnet,25,0.00010522815642978197,2.7232868337693314e-05,0.0005,0
resnet,26,9.720260405813211e-05,2.669944341760129e-05,0.0005,0
resnet,27,9.414826891385019e-05,3.253458990676639e-05,0.0005,0
resnet,28,8.975735226646066e-05,2.7317440086820474e-05,0.0005,0
resnet,29,8.958404141711071e-05,2.6751500705140644e-05,0.0005,0
resnet,30,9.195435718766281e-05,5.769078176701442e-05,0.0005,0
resnet,31,0.00010814914279617369,5.0060380185411004e-05,0.0005,0
resnet,32,0.0001200669564393216,0.00015060938479999702,0.0005,0
resnet,33,7.35041530343837e-05,2.7936931611426794e-05,0.00025,0
resnet,34,6.784777355846017e-05,2.708984400650176e-05,0.00025,0
resnet,35,6.560197751004515e-05,2.6361787113904332e-05,0.00025,0
resnet,36,6.364651515115319e-05,2.993496812142742e-05,0.00025,0
resnet,37,6.200700699351727e-05,2.7081335306089992e-05,0.00025,0
resnet,38,6.119285551099373e-05,4.615748358696389e-05,0.00025,0
resnet,39,6.15898648536365e-05,3.233424740222593e-05,0.00025,0
resnet,40,6.353700563710715e-05,5.661522878760782e-05,0.00025,0
resnet,41,6.475792305477495e-05,5.9860032390958316e-05,0.00025,0
resnet,42,5.280278036470658e-05,2.636788570031058e-05,0.000125,0
resnet,43,5.045686280571057e-05,2.6630337975996857e-05,0.000125,0
resnet,44,4.947799218768653e-05,2.5529498876615737e-05,0.000125,0
resnet,45,4.8933135893395434e-05,2.668835090609112e-05,0.000125,0
resnet,46,4.817693217358153e-05,2.4955789036272715e-05,0.000125,0
resnet,47,4.712815981873843e-05,2.5118938675538325e-05,0.000125,0
resnet,48,4.6314904094241296e-05,2.502985216580176e-05,0.000125,0
resnet,49,4.6793198935920374e-05,2.8239713114841532e-05,0.000125,0
resnet,50,4.552385606803e-05,3.120442659943364e-05,0.000125,0
resnet,51,4.552735155681148e-05,2.643207100375245e-05,0.000125,0
resnet,52,4.512422070439373e-05,3.5299609397770834e-05,0.000125,0
resnet,53,4.1602916821637854e-05,2.463968517705022e-05,6.25e-05,0
resnet,54,4.072969467146322e-05,2.4517673548543826e-05,6.25e-05,0
resnet,55,4.02260898838618e-05,2.4925522977525058e-05,6.25e-05,0
resnet,56,4.018342690808433e-05,2.4674748054239898e-05,6.25e-05,0
resnet,57,3.964598148911526e-05,2.4425197485252283e-05,6.25e-05,0
resnet,58,3.92243403790053e-05,2.4467721560116237e-05,6.25e-05,0
resnet,59,3.88289313761717e-05,2.4416682594649804e-05,6.25e-05,0
resnet,60,3.7929458939802965e-05,2.4306891729162697e-05,6.25e-05,0
resnet,61,3.797176941414364e-05,2.4443816912244074e-05,6.25e-05,0
resnet,62,3.717594376166484e-05,2.498066740091114e-05,6.25e-05,0
resnet,63,3.6823633558815345e-05,2.3940888526073346e-05,6.25e-05,0
resnet,64,3.642876107777868e-05,2.708894064766355e-05,6.25e-05,0
resnet,65,3.5894671857988994e-05,2.6526356027073538e-05,6.25e-05,0
resnet,66,3.5818634441820906e-05,2.464486427120088e-05,6.25e-05,0
resnet,67,3.4915246399052976e-05,2.4424493693125743e-05,6.25e-05,0
resnet,68,3.4198247567650726e-05,2.421467922414498e-05,6.25e-05,0
resnet,69,3.371378217990111e-05,2.381375178384284e-05,6.25e-05,0
resnet,70,3.349317957846714e-05,2.3788703411701136e-05,6.25e-05,0
resnet,71,3.347700595290267e-05,2.3357149857135178e-05,6.25e-05,0
