epoch,train_loss,val_loss,lr
1,0.004479229155874678,0.001040731860237817,0.001
2,0.0009061479188927583,0.0005958111182476083,0.001
3,0.0007252005296785916,0.000528226980989178,0.001
4,0.0006695664279535413,0.00045041099817181624,0.001
5,0.00048525818811330414,0.00022542876705527307,0.001
6,0.00042700155436061323,0.0002264247865586852,0.001
7,0.00042417010870496075,0.00022294143866126735,0.001
8,0.00042661181767205043,0.0002286177275578181,0.001
9,0.0004231322183459997,0.00021953723330050707,0.001
10,0.00041583890632992346,0.0002258435906485344,0.001
11,0.00041153697689462986,0.00022578661735635252,0.001
12,0.0004030311831845237,0.0002360889060019205,0.001
13,0.00040126252183424573,0.0002278131698258221,0.001
14,0.00039400021491040076,0.0002374839986814186,0.001
15,0.00038595494363723057,0.0002531727310611556,0.001
16,0.00038192716805131305,0.00022803601540159434,0.0005
17,0.000377104632927637,0.00022558060757660618,0.0005
18,0.00037418058787871684,0.00022757288445563367,0.0005
19,0.00037030911328404077,0.00023322601770050825,0.0005
