modell_neve,final_train_loss,final_val_loss,min_val_loss,best_epoch,parameterek_szama
MLPPricer,2.618646537386147e-05,2.41388938286885e-05,2.264530027673269e-05,47,31001
DeepMLPPricer,0.0006757422449785,0.0002847304129631,0.0002739689616703,4,267521
ResNetPricer,5.100337615353055e-05,2.7736554054232937e-05,1.3889703618478962e-05,47,400129
GELUResNetPricer,0.0001997908667867,8.519311563810334e-05,8.25376669348528e-05,40,398593
DenseMLPPricer,0.000635484546995,0.0002350250619649,0.0002284256697042,18,101894
HighwayPricer,0.0002754612571905,0.0002249211321615,0.0002241960801137,48,528129
FINNPricer,0.0002527656494373,9.903262506083895e-05,9.229625463485718e-05,17,403202
