epoch,train_loss,val_loss,lr
1,0.005310263823185648,0.0013362767253071069,0.001
2,0.0014213422484642693,0.0005311762548921009,0.001
3,0.0008801030412954944,0.00035799471195787193,0.001
4,0.0007722447090542742,0.0003287184608106812,0.001
5,0.000745320329285626,0.00032282644992694256,0.001
6,0.0007387753873345043,0.00032502335467996695,0.001
7,0.0007367072360057916,0.00034603404033308225,0.001
8,0.0007400394175973322,0.0003249213226015369,0.001
9,0.0007344381535239518,0.0003473461329036703,0.001
10,0.0007409057536322091,0.00033093443115241825,0.001
11,0.0007459100333069052,0.00033480353947728874,0.001
12,0.000742841502656894,0.0003367771999320636,0.0005
13,0.0007438591540578221,0.00033181110139004886,0.0005
14,0.0007440712582586067,0.0003300577915025254,0.0005
15,0.0007436523412886474,0.0003338586981439342,0.0005
16,0.000748778356601085,0.00033430836454965176,0.0005
17,0.0007482968552942787,0.0003339866868716975,0.0005
18,0.0007474385429067271,0.0003349028719651202,0.00025
19,0.0007451662977651826,0.0003338314344547689,0.00025
20,0.0007459921920166484,0.00033452757185014584,0.00025
21,0.0007466866929962167,0.0003352520939987153,0.00025
22,0.0007487657297216356,0.0003307002909233173,0.00025
23,0.000744989133817809,0.0003379537413952251,0.00025
24,0.0007457496311675225,0.00033212424740195276,0.000125
25,0.0007452229218158339,0.00033004224044891697,0.000125
26,0.0007454173529148102,0.0003292958302982152,0.000125
27,0.0007455465055044208,0.0003313259615780165,0.000125
28,0.0007450211879477969,0.00033151554879111547,0.000125
29,0.00074327985940235,0.00032947636851730444,0.000125
30,0.0007463823864688831,0.00032759937580054,6.25e-05
31,0.0007511594756426556,0.00032944019433731834,6.25e-05
32,0.0007454610080484833,0.0003297127090487629,6.25e-05
33,0.0007476012442473854,0.00032823501135533054,6.25e-05
34,0.0007484082733573658,0.0003286553066782653,6.25e-05
35,0.0007444593262220068,0.0003283960057484607,6.25e-05
