epoch,train_loss,val_loss,lr
1,0.08425935905537435,0.0019409136086205642,0.001
2,0.001583794858966555,0.0003772930220110963,0.001
3,0.0008300706678602312,0.0002295737027997772,0.001
4,0.0005814073990524879,0.00015036138060657927,0.001
5,0.00045854135018773376,0.00011895070861714581,0.001
6,0.0003946200236318899,0.0001066796755604446,0.001
7,0.00035428699472253876,9.802411706652493e-05,0.001
8,0.00032556737750901707,9.016255866891394e-05,0.001
9,0.00030321998652336856,8.540288790129125e-05,0.001
10,0.00028961651325758013,8.364095891515414e-05,0.001
11,0.00028074579249668335,8.343843479485562e-05,0.001
12,0.0002764479142427444,0.00012012034943560138,0.001
13,0.0002727501503444676,9.024631310564776e-05,0.001
14,0.0003142986303035702,0.0003347668041940778,0.001
15,0.00034558583606167565,8.692146871394167e-05,0.001
16,0.0004262226549043719,0.00013356827930547296,0.001
17,0.0004199781881445753,0.00014024636411418519,0.001
18,0.0002526243459406708,8.286731153183306e-05,0.0005
19,0.00025081738487950394,8.27158450288698e-05,0.0005
20,0.00025383786234605527,8.331050009311487e-05,0.0005
21,0.00025197126071634037,8.240615842631087e-05,0.0005
22,0.00025612068109347354,8.303027815961589e-05,0.0005
23,0.00026434160547597065,0.00017159088830308368,0.0005
24,0.0002819517049911831,8.844191915898894e-05,0.0005
25,0.000335476610285363,9.965357114948954e-05,0.0005
26,0.0003134801257814148,0.00019961760417713472,0.0005
27,0.000335119329511321,0.00011465302755357698,0.0005
28,0.00024894332886407416,8.38705040429098e-05,0.00025
29,0.00024732112829972593,8.811971656590079e-05,0.00025
30,0.00024573401022037224,8.741740077811604e-05,0.00025
31,0.0002458131727582908,8.514559684321284e-05,0.00025
32,0.00024335222493125392,8.6571311049629e-05,0.00025
33,0.00024358617964333722,8.596446126078566e-05,0.00025
34,0.00023654212701400477,8.478776927649354e-05,0.000125
35,0.0002341518584924883,8.590594181635727e-05,0.000125
36,0.0002322735220573044,8.517744660067062e-05,0.000125
37,0.000230799838054393,8.554477064637467e-05,0.000125
38,0.00022936834186781198,8.607385010380919e-05,0.000125
39,0.0002246059699183596,8.680324834228183e-05,0.000125
40,0.00022031966759889786,8.502547786803916e-05,6.25e-05
41,0.00022008003103679845,8.78029020743755e-05,6.25e-05
42,0.0002164857701172254,8.676527872759228e-05,6.25e-05
43,0.00021460751190648548,9.285175253947576e-05,6.25e-05
44,0.00021249463392222033,8.748530771738539e-05,6.25e-05
45,0.0002096873071144468,8.82593452061216e-05,6.25e-05
46,0.0002080332659996514,8.787526128658404e-05,3.125e-05
47,0.00020679806473931033,8.725157181887577e-05,3.125e-05
48,0.00020497529898637107,8.872126450839763e-05,3.125e-05
49,0.00020424273116381042,8.879526468304296e-05,3.125e-05
50,0.00020157486332513923,8.889387710019947e-05,3.125e-05
51,0.00019971035714992988,8.961223259723434e-05,3.125e-05
