epoch,train_loss,val_loss,lr
1,0.005310263823185648,0.0013362767253071069,0.001
2,0.0014213422484642693,0.0005311762548921009,0.001
3,0.0008801030412954944,0.00035799471195787193,0.001
4,0.0007722447090542742,0.0003287184608106812,0.001
5,0.000745320329285626,0.00032282644992694256,0.001
6,0.0007387753873345043,0.00032502335467996695,0.001
7,0.0007367072360057916,0.00034603404033308225,0.001
8,0.0007400394175973322,0.0003249213226015369,0.001
9,0.0007344381535239518,0.0003473461329036703,0.001
10,0.0007409057536322091,0.00033093443115241825,0.001
11,0.0007459100333069052,0.00033480353947728874,0.001
12,0.000742841502656894,0.0003367771999320636,0.0005
13,0.0007438591540578221,0.00033181110139004886,0.0005
14,0.0007440712582586067,0.0003300577915025254,0.0005
15,0.0007436523412886474,0.0003338586981439342,0.0005
